# Chunk-averaged data for fix myac1 and group H2O
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
1000000 42 1218
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0 0 0
  6 -15.5 0 0 0
  7 -14.5 0 0 0
  8 -13.5 0 0 0
  9 -12.5 0 0 0
  10 -11.5 0 0 0
  11 -10.5 2.95689 0.00843887 8.30776e-05
  12 -9.5 76.0813 1.34005 5.21535e-05
  13 -8.5 67.8441 1.17208 7.15673e-05
  14 -7.5 35.4768 0.422879 9.21661e-05
  15 -6.5 70.5377 1.33229 0.000101618
  16 -5.5 65.4169 1.0794 0.000134452
  17 -4.5 52.1218 0.881177 0.000156943
  18 -3.5 59.5701 1.03402 0.000183749
  19 -2.5 60.3231 1.03718 0.000199291
  20 -1.5 56.3076 0.948239 0.000213633
  21 -0.5 59.0444 1.00968 0.000230123
  22 0.5 59.0315 1.01397 0.000226845
  23 1.5 56.7571 0.950657 0.000232132
  24 2.5 60.7101 1.04017 0.000214851
  25 3.5 59.6214 1.03586 0.000204077
  26 4.5 51.7804 0.875493 0.000174991
  27 5.5 65.379 1.08621 0.000152825
  28 6.5 68.5386 1.3165 0.000133368
  29 7.5 36.5915 0.440834 0.000109028
  30 8.5 71.6859 1.24806 0.00010454
  31 9.5 79.044 1.38837 6.5581e-05
  32 10.5 3.17988 0.00907097 4.36659e-05
  33 11.5 0 0 0
  34 12.5 0 0 0
  35 13.5 0 0 0
  36 14.5 0 0 0
  37 15.5 0 0 0
  38 16.5 0 0 0
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
2000000 42 1217.9999999999998
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0 0 0
  6 -15.5 0 0 0
  7 -14.5 0 0 0
  8 -13.5 0 0 0
  9 -12.5 0 0 0
  10 -11.5 0 0 0
  11 -10.5 2.72726 0.00777982 4.20747e-05
  12 -9.5 77.7954 1.37641 4.12415e-05
  13 -8.5 66.7803 1.16839 6.1264e-05
  14 -7.5 33.6468 0.391439 7.86386e-05
  15 -6.5 69.4731 1.34739 0.000100509
  16 -5.5 65.2625 1.06473 0.000121569
  17 -4.5 51.2453 0.870488 0.000153502
  18 -3.5 60.606 1.04998 0.000175184
  19 -2.5 61.8631 1.06891 0.00020154
  20 -1.5 57.1506 0.949535 0.00022389
  21 -0.5 59.3807 1.02407 0.000237577
  22 0.5 59.9616 1.0219 0.000231038
  23 1.5 57.4923 0.957491 0.000225074
  24 2.5 62.0739 1.07182 0.000213462
  25 3.5 59.8971 1.01934 0.000197397
  26 4.5 51.5961 0.866512 0.000164612
  27 5.5 67.1407 1.09886 0.000138186
  28 6.5 70.9953 1.35693 0.000103959
  29 7.5 34.5217 0.402711 0.000100582
  30 8.5 67.3928 1.16808 6.45332e-05
  31 9.5 78.1126 1.37963 3.74634e-05
  32 10.5 2.88499 0.0082269 4.43135e-05
  33 11.5 0 0 0
  34 12.5 0 0 0
  35 13.5 0 0 0
  36 14.5 0 0 0
  37 15.5 0 0 0
  38 16.5 0 0 0
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
