LAMMPS water channel data file

300 atoms
200 bonds
100 angles

2 atom types
1 bond types
1 angle types

0.0 100.0000 xlo xhi
0.0 30.0000 ylo yhi
0.0 30.0000 zlo zhi

Masses

1  15.9994  # Oxygen
2   1.0080  # Hydrogen

Atoms  # full

102 34 2 0.4238  13.174067  2.239800  18.546671
103 35 1 -0.8476  32.178174  15.222838  25.596728
104 35 2 0.4238  31.361684  14.645479  25.596728
105 35 2 0.4238  32.994665  14.645479  25.596728
106 36 1 -0.8476  25.932054  12.669956  21.644330
107 36 2 0.4238  25.115564  12.092597  21.644330
108 36 2 0.4238  26.748544  12.092597  21.644330
109 37 1 -0.8476  23.964624  4.001478  9.533538
110 37 2 0.4238  23.148133  3.424119  9.533538
111 37 2 0.4238  24.781114  3.424119  9.533538
112 38 1 -0.8476  17.477244  26.172139  23.011130
113 38 2 0.4238  16.660753  25.594780  23.011130
114 38 2 0.4238  18.293734  25.594780  23.011130
115 39 1 -0.8476  62.806761  24.657975  22.895474
116 39 2 0.4238  61.990270  24.080616  22.895474
117 39 2 0.4238  63.623251  24.080616  22.895474
118 40 1 -0.8476  19.910726  25.206534  16.022898
119 40 2 0.4238  19.094235  24.629175  16.022898
120 40 2 0.4238  20.727216  24.629175  16.022898
121 41 1 -0.8476  79.514255  25.298374  10.268090
122 41 2 0.4238  78.697764  24.721015  10.268090
123 41 2 0.4238  80.330745  24.721015  10.268090
124 42 1 -0.8476  12.564985  7.926314  13.104803
125 42 2 0.4238  11.748494  7.348955  13.104803
126 42 2 0.4238  13.381475  7.348955  13.104803
127 43 1 -0.8476  80.529418  24.378995  2.180755
128 43 2 0.4238  79.712927  23.801636  2.180755
129 43 2 0.4238  81.345908  23.801636  2.180755
130 44 1 -0.8476  51.031741  12.852686  7.774803
131 44 2 0.4238  50.215251  12.275327  7.774803
132 44 2 0.4238  51.848231  12.275327  7.774803
133 45 1 -0.8476  13.507075  10.777994  26.515652
134 45 2 0.4238  12.690585  10.200635  26.515652
135 45 2 0.4238  14.323566  10.200635  26.515652
136 46 1 -0.8476  33.027481  15.488556  20.278493
137 46 2 0.4238  32.210991  14.911197  20.278493
138 46 2 0.4238  33.843972  14.911197  20.278493
139 47 1 -0.8476  36.908442  27.266334  27.023630
140 47 2 0.4238  36.091951  26.688975  27.023630
141 47 2 0.4238  37.724932  26.688975  27.023630
142 48 1 -0.8476  26.171100  14.928461  9.822836
143 48 2 0.4238  25.354610  14.351102  9.822836
144 48 2 0.4238  26.987591  14.351102  9.822836
145 49 1 -0.8476  29.344687  2.959061  17.848673
146 49 2 0.4238  28.528197  2.381702  17.848673
147 49 2 0.4238  30.161178  2.381702  17.848673
148 50 1 -0.8476  50.257186  3.338448  9.244808
149 50 2 0.4238  49.440696  2.761089  9.244808
150 50 2 0.4238  51.073677  2.761089  9.244808
151 51 1 -0.8476  89.193525  8.228609  5.767267
152 51 2 0.4238  88.377035  7.651250  5.767267
153 51 2 0.4238  90.010015  7.651250  5.767267
154 52 1 -0.8476  48.987465  27.626912  8.293437
155 52 2 0.4238  48.170975  27.049553  8.293437
156 52 2 0.4238  49.803955  27.049553  8.293437
157 53 1 -0.8476  66.525013  21.802110  8.178576
158 53 2 0.4238  65.708522  21.224751  8.178576
159 53 2 0.4238  67.341503  21.224751  8.178576
160 54 1 -0.8476  71.908769  11.562361  18.439952
161 54 2 0.4238  71.092279  10.985002  18.439952
162 54 2 0.4238  72.725260  10.985002  18.439952
163 55 1 -0.8476  62.818852  15.930142  4.347534
164 55 2 0.4238  62.002362  15.352783  4.347534
165 55 2 0.4238  63.635343  15.352783  4.347534
166 56 1 -0.8476  82.189040  10.340282  6.849481
167 56 2 0.4238  81.372549  9.762923  6.849481
168 56 2 0.4238  83.005530  9.762923  6.849481
169 57 1 -0.8476  5.914414  17.363217  19.616673
170 57 2 0.4238  5.097923  16.785858  19.616673
171 57 2 0.4238  6.730904  16.785858  19.616673
